part_name,file_type,category,relative_path,status,min_x_mm,min_y_mm,min_z_mm,max_x_mm,max_y_mm,max_z_mm,size_x_mm,size_y_mm,size_z_mm,triangle_count,error
m5_threaded_rod,stl,non_printable/metal_reference,exports/mk0.7.1/non_printable/metal_reference/m5_threaded_rod.stl,ok,-2.500,-2.500,0.000,2.500,2.500,321.500,5.000,5.000,321.500,332,
metal_guide_rail,stl,non_printable/metal_reference,exports/mk0.7.1/non_printable/metal_reference/metal_guide_rail.stl,ok,-5.000,-1.500,-143.750,5.000,1.500,143.750,10.000,3.000,287.500,1372,
mikrotik_placeholder,stl,placeholders/devices,exports/mk0.7.1/placeholders/devices/mikrotik_placeholder.stl,ok,-60.000,-47.500,-7.000,60.000,47.500,7.000,120.000,95.000,14.000,28,
mini_pc_placeholder,stl,placeholders/devices,exports/mk0.7.1/placeholders/devices/mini_pc_placeholder.stl,ok,-72.500,-65.000,-14.000,72.500,65.000,14.000,145.000,130.000,28.000,28,
power_bus_zone_placeholder,stl,placeholders/devices,exports/mk0.7.1/placeholders/devices/power_bus_zone_placeholder.stl,ok,-17.000,-2.000,-137.750,17.000,2.000,137.750,34.000,4.000,275.500,28,
raspberry_pi_3b_placeholder,stl,placeholders/devices,exports/mk0.7.1/placeholders/devices/raspberry_pi_3b_placeholder.stl,ok,-42.500,-40.000,-0.800,42.500,46.000,15.800,85.000,86.000,16.600,1412,
ssd_expansion_placeholder,stl,placeholders/devices,exports/mk0.7.1/placeholders/devices/ssd_expansion_placeholder.stl,ok,-55.000,-35.000,-3.000,55.000,35.000,3.000,110.000,70.000,6.000,28,
ssd_placeholder,stl,placeholders/devices,exports/mk0.7.1/placeholders/devices/ssd_placeholder.stl,ok,-37.500,-19.000,-8.000,37.500,19.000,8.000,75.000,38.000,16.000,28,
ups_placeholder,stl,placeholders/devices,exports/mk0.7.1/placeholders/devices/ups_placeholder.stl,ok,-62.500,-27.500,-16.000,62.500,27.500,16.000,125.000,55.000,32.000,28,
fan_120x120x25_placeholder,stl,placeholders/fans,exports/mk0.7.1/placeholders/fans/fan_120x120x25_placeholder.stl,ok,-60.000,-60.000,-12.500,60.000,60.000,30.500,120.000,120.000,43.000,2903,
bottom_fan_cartridge,stl,printable/plastic,exports/mk0.7.1/printable/plastic/bottom_fan_cartridge.stl,ok,-71.000,-77.800,-4.000,71.000,77.800,7.800,142.000,155.600,11.800,3104,
bottom_fan_grille,stl,printable/plastic,exports/mk0.7.1/printable/plastic/bottom_fan_grille.stl,ok,-95.000,-95.000,-2.000,95.000,95.000,5.000,190.000,190.000,7.000,2796,
