part_name,category,relative_path,status,geometry_hash,near_duplicate_key,duplicate_group,near_duplicate_group,size_x_mm,size_y_mm,size_z_mm,volume_mm3,notes
m5_threaded_rod,non_printable/metal_reference,exports/mk0.7.3/non_printable/metal_reference/m5_threaded_rod.stl,ok,aeabcb29d6e9cdb6df10b772a7e5bfcdd258d9d572ed2a015e13317621626de4,"(5.0, 5.0, 339.5, 6660.0)",,,5.000,5.000,339.500,6659.853,
metal_guide_rail,non_printable/metal_reference,exports/mk0.7.3/non_printable/metal_reference/metal_guide_rail.stl,ok,cd61d2df86855ab66ed472527657d971cb28598d9f7fbae48325cfd2e8b2598c,"(3.0, 10.0, 287.5, 8516.0)",,,10.000,3.000,287.500,8516.151,
mikrotik_placeholder,placeholders/devices,exports/mk0.7.3/placeholders/devices/mikrotik_placeholder.stl,ok,3b28249bde2acd299f34c399db2339864e864362ce7eacf407bfdd7ebd471bcc,"(14.0, 95.0, 120.0, 159582.0)",,,120.000,95.000,14.000,159582.080,
mini_pc_placeholder,placeholders/devices,exports/mk0.7.3/placeholders/devices/mini_pc_placeholder.stl,ok,49641b1a8dd13411af1caa1436c176dfba8eb7f6914e80008d27363ce2aa0739,"(28.0, 130.0, 145.0, 527764.0)",,,145.000,130.000,28.000,527764.160,
power_bus_zone_placeholder,placeholders/devices,exports/mk0.7.3/placeholders/devices/power_bus_zone_placeholder.stl,ok,713a3beda99b132635ad8ad4db0d4df3a9b0107bd8e054f6bedbecc03ce84a23,"(4.0, 34.0, 275.5, 37115.0)",,,34.000,4.000,275.500,37115.360,
raspberry_pi_3b_placeholder,placeholders/devices,exports/mk0.7.3/placeholders/devices/raspberry_pi_3b_placeholder.stl,ok,3931eb8b053e7ba4475e77382074c494ca27e3eeaf0aec757abbf2360ff4d45b,"(16.6, 85.0, 86.0, 98326.0)",,,85.000,86.000,16.600,98325.975,
ssd_expansion_placeholder,placeholders/devices,exports/mk0.7.3/placeholders/devices/ssd_expansion_placeholder.stl,ok,ccb0ccd41445c9ea61ca5d8a229ff8f0ddb4c44dbe5dfcd14b4e44cf6c5087bf,"(6.0, 70.0, 110.0, 46192.0)",,,110.000,70.000,6.000,46192.320,
ssd_placeholder,placeholders/devices,exports/mk0.7.3/placeholders/devices/ssd_placeholder.stl,ok,5c64e4f869b7ffbb64ea0eec576c3d5dccc1434b6133ba0ba3276c8cf8030f4f,"(16.0, 38.0, 75.0, 45580.0)",,,75.000,38.000,16.000,45579.520,
ups_placeholder,placeholders/devices,exports/mk0.7.3/placeholders/devices/ups_placeholder.stl,ok,f3efb1eaf442c494b516ad9d5a9037b1a18fe2c8c5735966039753429d8d2b1f,"(32.0, 55.0, 125.0, 219959.0)",,,125.000,55.000,32.000,219959.040,
fan_120x120x25_placeholder,placeholders/fans,exports/mk0.7.3/placeholders/fans/fan_120x120x25_placeholder.stl,ok,233678fc9347df5b07edd970ca679f253a03701025916f19b4ef0fa5c8db104d,"(43.0, 120.0, 120.0, 147658.0)",,,120.000,120.000,43.000,147657.860,
bottom_fan_cartridge,printable/plastic,exports/mk0.7.3/printable/plastic/bottom_fan_cartridge.stl,ok,f014bc48e7b08cf8f11646579971f27ab4b062cfc9b0c76470f614d8b78cf2d5,"(9.0, 142.0, 150.0, 88578.0)",,,142.000,150.000,9.000,88577.861,
bottom_fan_grille,printable/plastic,exports/mk0.7.3/printable/plastic/bottom_fan_grille.stl,ok,5b0c9f517abab1721e875b824b31843a62c4b85730ffbf68db7460942d4ab849,"(7.0, 190.0, 190.0, 111520.0)",,,190.000,190.000,7.000,111520.276,
bottom_filter_frame,printable/plastic,exports/mk0.7.3/printable/plastic/bottom_filter_frame.stl,ok,ac20d5bb5343a2f20aec871e00a26b7e6b8a3173ae38a8df69875acb9c5474ed,"(3.0, 138.0, 138.0, 27603.0)",,,138.000,138.000,3.000,27603.450,
bottom_filter_retainer,printable/plastic,exports/mk0.7.3/printable/plastic/bottom_filter_retainer.stl,ok,79af3ddd5b5615d6b39348d9312f45a11302bccad9153818919d298cad300898,"(4.0, 138.0, 144.0, 7048.0)",,,144.000,138.000,4.000,7048.000,
bottom_structural_frame,printable/plastic,exports/mk0.7.3/printable/plastic/bottom_structural_frame.stl,ok,08ba2121711ea109642953ad67cd7c081bfbfedb8d907677d66412b0faf033dd,"(13.0, 190.0, 190.0, 84693.0)",,near_001,190.000,190.000,13.000,84693.424,near_duplicate_group=near_001
central_bottom_fan_frame,printable/plastic,exports/mk0.7.3/printable/plastic/central_bottom_fan_frame.stl,ok,55a935754d97b7da17bf8f18230c2c78cca7a1f2bf34e3b1f908b0b65e443196,"(16.0, 190.0, 190.0, 257031.0)",,,190.000,190.000,16.000,257031.420,
corner_block,printable/plastic,exports/mk0.7.3/printable/plastic/corner_block.stl,ok,77c565e5c11da2719702ad4a8ff4805810b86f579ab8ce4eeba23de8e857b210,"(24.0, 24.0, 28.0, 14990.0)",,,24.000,24.000,28.000,14990.402,
external_ssd_bay,printable/plastic,exports/mk0.7.3/printable/plastic/external_ssd_bay.stl,ok,641c6318c9e380820b76d1740144ace7125d086f9bfadcde456bd634280a69e3,"(32.0, 172.0, 178.70000000000002, 126166.0)",,,172.000,178.700,32.000,126165.610,
foot_socket,printable/plastic,exports/mk0.7.3/printable/plastic/foot_socket.stl,ok,a9c3ec3ebf32f282a3f7fecee4ba4229b9229d3787f0d4e814e0bc8f17062ce6,"(6.0, 42.0, 42.0, 3036.0)",,,42.000,42.000,6.000,3035.612,
front_stability_wing,printable/plastic,exports/mk0.7.3/printable/plastic/front_stability_wing.stl,ok,0508d4fcaf71504c1364f932900b3a04c8868b8a22ce9f3d2cd01ff55ec7cba3,"(10.0, 47.0, 250.0, 116957.0)",exact_001,near_002,250.000,47.000,10.000,116957.170,duplicate_group=exact_001; near_duplicate_group=near_002
left_foot_extension,printable/plastic,exports/mk0.7.3/printable/plastic/left_foot_extension.stl,ok,0090d44d55958e14bdf3a95227ccac1d37df3dd1fddf80bc2e4f1ae368fd7938,"(10.0, 42.0, 190.0, 79257.0)",exact_002,near_003,42.000,190.000,10.000,79257.170,duplicate_group=exact_002; near_duplicate_group=near_003
left_side_panel_lower,printable/plastic,exports/mk0.7.3/printable/plastic/left_side_panel_lower.stl,ok,3f32d780568289217226978bb3e2fb8122679ec0b6bfdadf418ee2a597f1373e,"(13.0, 100.9, 176.0, 88794.0)",exact_003,near_004,176.000,13.000,100.900,88794.171,duplicate_group=exact_003; near_duplicate_group=near_004
left_side_panel_middle,printable/plastic,exports/mk0.7.3/printable/plastic/left_side_panel_middle.stl,ok,8997f442c8a50dfc075a751ded5310a12308e0de6b948165ddd2c0a1ebac0806,"(5.2, 100.9, 176.0, 63144.0)",exact_004,near_005,176.000,5.200,100.900,63143.834,duplicate_group=exact_004; near_duplicate_group=near_005
left_side_panel_upper,printable/plastic,exports/mk0.7.3/printable/plastic/left_side_panel_upper.stl,ok,1d09e99665ce96634741419325a08548eb6166cb3936ddba3c44fa7cda86846b,"(13.0, 100.9, 176.0, 93621.0)",exact_005,near_006,176.000,13.000,100.900,93620.808,duplicate_group=exact_005; near_duplicate_group=near_006
m5_threaded_rod_cap,printable/plastic,exports/mk0.7.3/printable/plastic/m5_threaded_rod_cap.stl,ok,bf572a8db4864f67a6c966ba31682b6486836b2811674673e772d90986db3164,"(8.0, 12.0, 12.0, 707.0)",,,12.000,12.000,8.000,707.078,
mikrotik_tray,printable/plastic,exports/mk0.7.3/printable/plastic/mikrotik_tray.stl,ok,f946bb3f3d2bc7c7a4e1b1ca68de5d069793b98b0e295d4639d3e19c5f4549ba,"(32.0, 172.0, 178.70000000000002, 137544.0)",,,172.000,178.700,32.000,137544.175,
mini_pc_airflow_duct,printable/plastic,exports/mk0.7.3/printable/plastic/mini_pc_airflow_duct.stl,ok,e60373ad33d485d12c8d9acd8f671d25d4eb0fcc1e6b3fe02cd86d3638d586c1,"(62.0, 88.0, 134.0, 64252.0)",,,88.000,134.000,62.000,64252.160,
mini_pc_tray,printable/plastic,exports/mk0.7.3/printable/plastic/mini_pc_tray.stl,ok,28fe122965f9755afc257496e000215df71ac8063710751057fffd78a7b7acf2,"(32.0, 172.0, 178.70000000000002, 187453.0)",,,172.000,178.700,32.000,187452.501,
