part_name,category,relative_path,status,geometry_hash,near_duplicate_key,duplicate_group,near_duplicate_group,size_x_mm,size_y_mm,size_z_mm,volume_mm3,notes
m5_threaded_rod,non_printable/metal_reference,exports/mk0.7/non_printable/metal_reference/m5_threaded_rod.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
metal_guide_rail,non_printable/metal_reference,exports/mk0.7/non_printable/metal_reference/metal_guide_rail.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
mikrotik_placeholder,placeholders/devices,exports/mk0.7/placeholders/devices/mikrotik_placeholder.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
mini_pc_placeholder,placeholders/devices,exports/mk0.7/placeholders/devices/mini_pc_placeholder.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
raspberry_pi_3b_placeholder,placeholders/devices,exports/mk0.7/placeholders/devices/raspberry_pi_3b_placeholder.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
ssd_expansion_placeholder,placeholders/devices,exports/mk0.7/placeholders/devices/ssd_expansion_placeholder.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
ssd_placeholder,placeholders/devices,exports/mk0.7/placeholders/devices/ssd_placeholder.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
ups_placeholder,placeholders/devices,exports/mk0.7/placeholders/devices/ups_placeholder.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
fan_120x120x25_placeholder,placeholders/fans,exports/mk0.7/placeholders/fans/fan_120x120x25_placeholder.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
bottom_fan_cartridge,printable/plastic,exports/mk0.7/printable/plastic/bottom_fan_cartridge.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
bottom_fan_grille,printable/plastic,exports/mk0.7/printable/plastic/bottom_fan_grille.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
bottom_filter_frame,printable/plastic,exports/mk0.7/printable/plastic/bottom_filter_frame.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
bottom_filter_retainer,printable/plastic,exports/mk0.7/printable/plastic/bottom_filter_retainer.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
bottom_structural_frame,printable/plastic,exports/mk0.7/printable/plastic/bottom_structural_frame.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
central_bottom_fan_frame,printable/plastic,exports/mk0.7/printable/plastic/central_bottom_fan_frame.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
corner_block,printable/plastic,exports/mk0.7/printable/plastic/corner_block.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
external_ssd_bay,printable/plastic,exports/mk0.7/printable/plastic/external_ssd_bay.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
