part_name,category,relative_path,status,size_x_mm,size_y_mm,size_z_mm,print_volume_x_mm,print_volume_y_mm,print_volume_z_mm,fits_axis_aligned,long_thin_risk,max_aspect_ratio,notes
bottom_fan_cartridge,printable/plastic,exports/mk0.7/printable/plastic/bottom_fan_cartridge.stl,ok,142.000,161.000,13.000,256.000,256.000,256.000,True,False,12.385,
bottom_fan_grille,printable/plastic,exports/mk0.7/printable/plastic/bottom_fan_grille.stl,ok,190.000,190.000,7.000,256.000,256.000,256.000,True,False,27.143,
bottom_filter_frame,printable/plastic,exports/mk0.7/printable/plastic/bottom_filter_frame.stl,ok,138.000,138.000,3.000,256.000,256.000,256.000,True,True,46.000,long-thin geometry risk; orientation/support review required
bottom_filter_retainer,printable/plastic,exports/mk0.7/printable/plastic/bottom_filter_retainer.stl,ok,144.000,8.000,4.000,256.000,256.000,256.000,True,True,36.000,long-thin geometry risk; orientation/support review required
bottom_structural_frame,printable/plastic,exports/mk0.7/printable/plastic/bottom_structural_frame.stl,ok,190.000,190.000,13.000,256.000,256.000,256.000,True,False,14.615,
central_bottom_fan_frame,printable/plastic,exports/mk0.7/printable/plastic/central_bottom_fan_frame.stl,ok,190.000,190.000,16.000,256.000,256.000,256.000,True,False,11.875,
corner_block,printable/plastic,exports/mk0.7/printable/plastic/corner_block.stl,ok,24.000,24.000,28.000,256.000,256.000,256.000,True,False,1.167,
external_ssd_bay,printable/plastic,exports/mk0.7/printable/plastic/external_ssd_bay.stl,ok,172.000,178.000,32.000,256.000,256.000,256.000,True,False,5.562,
foot,printable/plastic,exports/mk0.7/printable/plastic/foot.stl,ok,34.000,34.000,32.000,256.000,256.000,256.000,True,False,1.062,
foot_socket,printable/plastic,exports/mk0.7/printable/plastic/foot_socket.stl,ok,42.000,42.000,3.000,256.000,256.000,256.000,True,True,14.000,long-thin geometry risk; orientation/support review required
frame_bottom,printable/plastic,exports/mk0.7/printable/plastic/frame_bottom.stl,ok,190.000,190.000,13.000,256.000,256.000,256.000,True,False,14.615,
frame_top,printable/plastic,exports/mk0.7/printable/plastic/frame_top.stl,ok,190.000,190.000,13.000,256.000,256.000,256.000,True,False,14.615,
front_stability_wing,printable/plastic,exports/mk0.7/printable/plastic/front_stability_wing.stl,ok,250.000,47.000,10.000,256.000,256.000,256.000,True,False,25.000,
left_foot_extension,printable/plastic,exports/mk0.7/printable/plastic/left_foot_extension.stl,ok,42.000,190.000,10.000,256.000,256.000,256.000,True,False,19.000,
left_side_panel_lower,printable/plastic,exports/mk0.7/printable/plastic/left_side_panel_lower.stl,ok,176.000,13.000,100.900,256.000,256.000,256.000,True,False,13.538,
left_side_panel_middle,printable/plastic,exports/mk0.7/printable/plastic/left_side_panel_middle.stl,ok,176.000,5.200,100.900,256.000,256.000,256.000,True,False,33.846,
left_side_panel_upper,printable/plastic,exports/mk0.7/printable/plastic/left_side_panel_upper.stl,ok,176.000,13.000,100.900,256.000,256.000,256.000,True,False,13.538,
mikrotik_tray,printable/plastic,exports/mk0.7/printable/plastic/mikrotik_tray.stl,ok,172.000,178.000,32.000,256.000,256.000,256.000,True,False,5.562,
mini_pc_airflow_duct,printable/plastic,exports/mk0.7/printable/plastic/mini_pc_airflow_duct.stl,ok,88.000,134.000,62.000,256.000,256.000,256.000,True,False,2.161,
mini_pc_tray,printable/plastic,exports/mk0.7/printable/plastic/mini_pc_tray.stl,ok,172.000,178.000,32.000,256.000,256.000,256.000,True,False,5.562,
mini_pc_tray_stop,printable/plastic,exports/mk0.7/printable/plastic/mini_pc_tray_stop.stl,ok,18.000,6.000,22.000,256.000,256.000,256.000,True,False,3.667,
power_bus_cover,printable/plastic,exports/mk0.7/printable/plastic/power_bus_cover.stl,ok,46.000,5.000,265.500,256.000,256.000,256.000,False,False,53.100,exceeds configured axis-aligned P2S volume
power_bus_panel,printable/plastic,exports/mk0.7/printable/plastic/power_bus_panel.stl,ok,34.000,7.500,275.500,256.000,256.000,256.000,False,False,36.733,exceeds configured axis-aligned P2S volume
raspberry_pi_tray,printable/plastic,exports/mk0.7/printable/plastic/raspberry_pi_tray.stl,ok,172.000,178.000,32.000,256.000,256.000,256.000,True,False,5.562,
rear_service_spine,printable/plastic,exports/mk0.7/printable/plastic/rear_service_spine.stl,ok,80.000,40.000,297.500,256.000,256.000,256.000,False,False,7.438,exceeds configured axis-aligned P2S volume
rear_service_spine_cover,printable/plastic,exports/mk0.7/printable/plastic/rear_service_spine_cover.stl,ok,46.000,3.000,295.500,256.000,256.000,256.000,False,True,98.500,exceeds configured axis-aligned P2S volume; long-thin geometry risk; orientation/support review required
rear_stability_wing,printable/plastic,exports/mk0.7/printable/plastic/rear_stability_wing.stl,ok,250.000,47.000,10.000,256.000,256.000,256.000,True,False,25.000,
right_foot_extension,printable/plastic,exports/mk0.7/printable/plastic/right_foot_extension.stl,ok,42.000,190.000,10.000,256.000,256.000,256.000,True,False,19.000,
right_side_panel_lower,printable/plastic,exports/mk0.7/printable/plastic/right_side_panel_lower.stl,ok,176.000,13.000,100.900,256.000,256.000,256.000,True,False,13.538,
right_side_panel_middle,printable/plastic,exports/mk0.7/printable/plastic/right_side_panel_middle.stl,ok,176.000,5.200,100.900,256.000,256.000,256.000,True,False,33.846,
right_side_panel_upper,printable/plastic,exports/mk0.7/printable/plastic/right_side_panel_upper.stl,ok,176.000,13.000,100.900,256.000,256.000,256.000,True,False,13.538,
ssd_expansion_tray,printable/plastic,exports/mk0.7/printable/plastic/ssd_expansion_tray.stl,ok,172.000,178.000,32.000,256.000,256.000,256.000,True,False,5.562,
top_fan_grille,printable/plastic,exports/mk0.7/printable/plastic/top_fan_grille.stl,ok,190.000,190.000,4.000,256.000,256.000,256.000,True,True,47.500,long-thin geometry risk; orientation/support review required
top_structural_frame,printable/plastic,exports/mk0.7/printable/plastic/top_structural_frame.stl,ok,190.000,190.000,13.000,256.000,256.000,256.000,True,False,14.615,
ups_power_tray,printable/plastic,exports/mk0.7/printable/plastic/ups_power_tray.stl,ok,186.500,178.000,32.000,256.000,256.000,256.000,True,False,5.828,
