part_name,file_type,category,relative_path,status,min_x_mm,min_y_mm,min_z_mm,max_x_mm,max_y_mm,max_z_mm,size_x_mm,size_y_mm,size_z_mm,triangle_count,error
mini_pc_placeholder_airflow_guide,stl,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/mini_pc_placeholder_airflow_guide.stl,ok,-72.500,-80.000,0.000,72.500,50.000,28.000,145.000,130.000,28.000,24,
mini_pc_placeholder_retainer,stl,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/mini_pc_placeholder_retainer.stl,ok,-46.800,-84.500,0.000,46.800,54.500,10.000,93.600,139.000,10.000,24,
mini_pc_placeholder_tray,stl,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/mini_pc_placeholder_tray.stl,ok,-95.000,-95.000,-2.000,95.000,95.000,2.000,190.000,190.000,4.000,68,
rail_end_mount,stl,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/rail_end_mount.stl,ok,-9.000,-6.000,-10.000,9.000,6.000,10.000,18.000,12.000,20.000,1488,
rpi_mount_posts,stl,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/rpi_mount_posts.stl,ok,-80.250,-69.750,0.000,4.250,-14.250,7.000,84.500,55.500,7.000,2688,
rpi_ssd_tray,stl,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/rpi_ssd_tray.stl,ok,-95.000,-95.000,-2.000,95.000,95.000,2.000,190.000,190.000,4.000,48,
ssd_retainer,stl,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/ssd_retainer.stl,ok,2.000,-7.000,0.000,86.000,43.000,8.000,84.000,50.000,8.000,24,
tray_support_ledge,stl,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/tray_support_ledge.stl,ok,-11.000,-7.000,-2.000,11.000,7.000,2.000,22.000,14.000,4.000,368,
base_module,stl,printed/plastic_modules,exports/mk0.9.3/printed/plastic_modules/base_module.stl,ok,-95.000,-95.000,-30.000,95.000,95.000,28.000,190.000,190.000,58.000,9128,
mini_pc_placeholder_module,stl,printed/plastic_modules,exports/mk0.9.3/printed/plastic_modules/mini_pc_placeholder_module.stl,ok,-95.500,-97.500,-43.800,95.500,95.000,45.000,191.000,192.500,88.800,14276,
roof_module,stl,printed/plastic_modules,exports/mk0.9.3/printed/plastic_modules/roof_module.stl,ok,-95.000,-95.000,-23.000,95.000,95.000,26.000,190.000,190.000,49.000,7136,
rpi_ssd_module,stl,printed/plastic_modules,exports/mk0.9.3/printed/plastic_modules/rpi_ssd_module.stl,ok,-95.500,-95.000,-37.800,95.500,95.000,39.000,191.000,190.000,76.800,12986,
bottom_grill,stl,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/bottom_grill.stl,ok,-69.000,-69.000,-2.000,69.000,69.000,2.000,138.000,138.000,4.000,876,
dust_filter_slot,stl,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/dust_filter_slot.stl,ok,-71.000,-78.000,-1.000,71.000,66.000,1.000,142.000,144.000,2.000,48,
foot_mounts,stl,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/foot_mounts.stl,ok,-95.000,-95.000,0.000,95.000,95.000,4.000,190.000,190.000,4.000,2688,
m5_threaded_rod_cap,stl,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/m5_threaded_rod_cap.stl,ok,-6.000,-6.000,0.000,6.000,6.000,8.000,12.000,12.000,8.000,672,
mini_pc_placeholder_carriage,stl,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/mini_pc_placeholder_carriage.stl,ok,-91.800,-92.000,-1.200,91.800,88.000,12.000,183.600,180.000,13.200,8524,
rail_end_clip,stl,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/rail_end_clip.stl,ok,-9.000,-4.000,-2.000,9.000,4.250,4.000,18.000,8.250,6.000,372,
rpi_ssd_carriage,stl,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/rpi_ssd_carriage.stl,ok,-91.800,-92.000,-1.200,91.800,88.000,12.000,183.600,180.000,13.200,7684,
top_filter_slot,stl,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/top_filter_slot.stl,ok,-71.000,-71.000,-1.000,71.000,71.000,1.000,142.000,142.000,2.000,32,
foot,stl,printed/tpu,exports/mk0.9.3/printed/tpu/foot.stl,ok,-11.000,-11.000,-6.000,11.000,11.000,6.000,22.000,22.000,12.000,1008,
aluminum_u_channel_rail_placeholder,stl,reference_non_printed/metal,exports/mk0.9.3/reference_non_printed/metal/aluminum_u_channel_rail_placeholder.stl,ok,-7.500,-5.000,-77.500,7.500,5.000,77.500,15.000,10.000,155.000,28,
m5_threaded_rod,stl,reference_non_printed/metal,exports/mk0.9.3/reference_non_printed/metal/m5_threaded_rod.stl,ok,-2.500,-2.500,0.000,2.500,2.500,264.000,5.000,5.000,264.000,332,
pom_c_shoe_placeholder,stl,reference_non_printed/wear_parts,exports/mk0.9.3/reference_non_printed/wear_parts/pom_c_shoe_placeholder.stl,ok,-4.000,-4.000,0.000,4.000,4.000,12.000,8.000,8.000,12.000,332,
tpu_foot_placeholder,stl,reference_non_printed/wear_parts,exports/mk0.9.3/reference_non_printed/wear_parts/tpu_foot_placeholder.stl,ok,-11.000,-11.000,-6.000,11.000,11.000,6.000,22.000,22.000,12.000,1008,
external_ssd_placeholder,stl,reference_placeholders/devices,exports/mk0.9.3/reference_placeholders/devices/external_ssd_placeholder.stl,ok,-37.500,-19.000,-8.000,37.500,19.000,8.000,75.000,38.000,16.000,28,
mini_pc_placeholder,stl,reference_placeholders/devices,exports/mk0.9.3/reference_placeholders/devices/mini_pc_placeholder.stl,ok,-65.000,-65.000,-27.500,65.000,65.000,27.500,130.000,130.000,55.000,28,
raspberry_pi_3b_placeholder,stl,reference_placeholders/devices,exports/mk0.9.3/reference_placeholders/devices/raspberry_pi_3b_placeholder.stl,ok,-42.500,-40.000,-0.800,42.500,46.000,15.800,85.000,86.000,16.600,1412,
fan_120x120x25_placeholder,stl,reference_placeholders/fans,exports/mk0.9.3/reference_placeholders/fans/fan_120x120x25_placeholder.stl,ok,-60.000,-60.000,-12.500,60.000,60.000,30.500,120.000,120.000,43.000,2903,
dust_filter_placeholder,stl,reference_placeholders/filters,exports/mk0.9.3/reference_placeholders/filters/dust_filter_placeholder.stl,ok,-65.000,-60.000,-1.000,65.000,60.000,1.000,130.000,120.000,2.000,28,
top_guard_filter_mesh_placeholder,stl,reference_placeholders/filters,exports/mk0.9.3/reference_placeholders/filters/top_guard_filter_mesh_placeholder.stl,ok,-60.000,-60.000,-1.000,60.000,60.000,1.000,120.000,120.000,2.000,28,
airflow_clearance_zone,stl,review,exports/mk0.9.3/review/airflow_clearance_zone.stl,ok,-68.500,-83.500,0.000,68.500,53.500,246.000,137.000,137.000,246.000,12,
central_airflow_channel_placeholder,stl,review,exports/mk0.9.3/review/central_airflow_channel_placeholder.stl,ok,-62.500,-77.500,0.000,62.500,47.500,246.000,125.000,125.000,246.000,12,
module_interface_bottom,stl,review,exports/mk0.9.3/review/module_interface_bottom.stl,ok,-95.000,-95.000,-2.000,95.000,95.000,2.000,190.000,190.000,4.000,48,
module_interface_top,stl,review,exports/mk0.9.3/review/module_interface_top.stl,ok,-95.000,-95.000,-2.000,95.000,95.000,2.000,190.000,190.000,4.000,48,
simplified_airflow_guide,stl,review,exports/mk0.9.3/review/simplified_airflow_guide.stl,ok,-5.000,-20.000,36.000,5.000,-10.000,212.000,10.000,10.000,176.000,996,
assembly,step,assemblies,exports/mk0.9.3/assemblies/assembly.step,ok,-99.000,-97.500,-16.000,99.000,95.000,264.000,198.000,192.500,280.000,,
mini_pc_placeholder_airflow_guide,step,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/mini_pc_placeholder_airflow_guide.step,ok,-72.500,-80.000,0.000,72.500,50.000,28.000,145.000,130.000,28.000,,
mini_pc_placeholder_retainer,step,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/mini_pc_placeholder_retainer.step,ok,-46.800,-84.500,0.000,46.800,54.500,10.000,93.600,139.000,10.000,,
mini_pc_placeholder_tray,step,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/mini_pc_placeholder_tray.step,ok,-95.000,-95.000,-2.000,95.000,95.000,2.000,190.000,190.000,4.000,,
rail_end_mount,step,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/rail_end_mount.step,ok,-9.000,-6.000,-10.000,9.000,6.000,10.000,18.000,12.000,20.000,,
rpi_mount_posts,step,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/rpi_mount_posts.step,ok,-80.250,-69.750,0.000,4.250,-14.250,7.000,84.500,55.500,7.000,,
rpi_ssd_tray,step,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/rpi_ssd_tray.step,ok,-95.000,-95.000,-2.000,95.000,95.000,2.000,190.000,190.000,4.000,,
ssd_retainer,step,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/ssd_retainer.step,ok,2.000,-7.000,0.000,86.000,43.000,8.000,84.000,50.000,8.000,,
tray_support_ledge,step,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/tray_support_ledge.step,ok,-11.000,-7.000,-2.000,11.000,7.000,2.000,22.000,14.000,4.000,,
base_module,step,printed/plastic_modules,exports/mk0.9.3/printed/plastic_modules/base_module.step,ok,-95.000,-95.000,-30.000,95.000,95.000,28.000,190.000,190.000,58.000,,
mini_pc_placeholder_module,step,printed/plastic_modules,exports/mk0.9.3/printed/plastic_modules/mini_pc_placeholder_module.step,ok,-95.500,-97.500,-43.800,95.500,95.000,45.000,191.000,192.500,88.800,,
roof_module,step,printed/plastic_modules,exports/mk0.9.3/printed/plastic_modules/roof_module.step,ok,-95.000,-95.000,-23.000,95.000,95.000,26.000,190.000,190.000,49.000,,
rpi_ssd_module,step,printed/plastic_modules,exports/mk0.9.3/printed/plastic_modules/rpi_ssd_module.step,ok,-95.500,-95.000,-37.800,95.500,95.000,39.000,191.000,190.000,76.800,,
bottom_grill,step,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/bottom_grill.step,ok,-69.000,-69.000,-2.000,69.000,69.000,2.000,138.000,138.000,4.000,,
dust_filter_slot,step,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/dust_filter_slot.step,ok,-71.000,-78.000,-1.000,71.000,66.000,1.000,142.000,144.000,2.000,,
foot_mounts,step,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/foot_mounts.step,ok,-95.000,-95.000,0.000,95.000,95.000,4.000,190.000,190.000,4.000,,
m5_threaded_rod_cap,step,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/m5_threaded_rod_cap.step,ok,-6.000,-6.000,0.000,6.000,6.000,8.000,12.000,12.000,8.000,,
mini_pc_placeholder_carriage,step,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/mini_pc_placeholder_carriage.step,ok,-91.800,-92.000,-1.200,91.800,88.000,12.000,183.600,180.000,13.200,,
rail_end_clip,step,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/rail_end_clip.step,ok,-9.000,-4.000,-2.000,9.000,4.250,4.000,18.000,8.250,6.000,,
rpi_ssd_carriage,step,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/rpi_ssd_carriage.step,ok,-91.800,-92.000,-1.200,91.800,88.000,12.000,183.600,180.000,13.200,,
top_filter_slot,step,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/top_filter_slot.step,ok,-71.000,-71.000,-1.000,71.000,71.000,1.000,142.000,142.000,2.000,,
foot,step,printed/tpu,exports/mk0.9.3/printed/tpu/foot.step,ok,-11.000,-11.000,-6.000,11.000,11.000,6.000,22.000,22.000,12.000,,
aluminum_u_channel_rail_placeholder,step,reference_non_printed/metal,exports/mk0.9.3/reference_non_printed/metal/aluminum_u_channel_rail_placeholder.step,ok,-7.500,-5.000,-77.500,7.500,5.000,77.500,15.000,10.000,155.000,,
m5_threaded_rod,step,reference_non_printed/metal,exports/mk0.9.3/reference_non_printed/metal/m5_threaded_rod.step,ok,-2.500,-2.500,0.000,2.500,2.500,264.000,5.000,5.000,264.000,,
pom_c_shoe_placeholder,step,reference_non_printed/wear_parts,exports/mk0.9.3/reference_non_printed/wear_parts/pom_c_shoe_placeholder.step,ok,-4.000,-4.000,0.000,4.000,4.000,12.000,8.000,8.000,12.000,,
