part_name,category,relative_path,status,mesh_volume_mm3,mesh_volume_cm3,petg_density_g_cm3,pla_density_g_cm3,estimated_petg_mass_g,estimated_pla_mass_g,notes
base_module,printed/plastic_modules,exports/mk0.9.3/printed/plastic_modules/base_module.stl,ok,196633.201,196.633,1.27,1.24,249.724,243.825,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
mini_pc_placeholder_module,printed/plastic_modules,exports/mk0.9.3/printed/plastic_modules/mini_pc_placeholder_module.stl,ok,197969.953,197.970,1.27,1.24,251.422,245.483,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
roof_module,printed/plastic_modules,exports/mk0.9.3/printed/plastic_modules/roof_module.stl,ok,193626.989,193.627,1.27,1.24,245.906,240.097,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
rpi_ssd_module,printed/plastic_modules,exports/mk0.9.3/printed/plastic_modules/rpi_ssd_module.stl,ok,185022.540,185.023,1.27,1.24,234.979,229.428,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
bottom_grill,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/bottom_grill.stl,ok,41011.495,41.011,1.27,1.24,52.085,50.854,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
dust_filter_slot,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/dust_filter_slot.stl,ok,7821.600,7.822,1.27,1.24,9.933,9.699,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
foot_mounts,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/foot_mounts.stl,ok,5055.885,5.056,1.27,1.24,6.421,6.269,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
m5_threaded_rod_cap,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/m5_threaded_rod_cap.stl,ok,707.078,0.707,1.27,1.24,0.898,0.877,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
mini_pc_placeholder_carriage,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/mini_pc_placeholder_carriage.stl,ok,37166.269,37.166,1.27,1.24,47.201,46.086,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
rail_end_clip,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/rail_end_clip.stl,ok,599.717,0.600,1.27,1.24,0.762,0.744,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
rpi_ssd_carriage,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/rpi_ssd_carriage.stl,ok,30616.846,30.617,1.27,1.24,38.883,37.965,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
top_filter_slot,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/top_filter_slot.stl,ok,11528.000,11.528,1.27,1.24,14.641,14.295,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
foot,printed/tpu,exports/mk0.9.3/printed/tpu/foot.stl,ok,4044.574,4.045,1.27,1.24,5.137,5.015,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
