part_name,category,relative_path,status,triangle_count,is_watertight,is_manifold,boundary_edges,nonmanifold_edges,notes
mini_pc_placeholder_airflow_guide,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/mini_pc_placeholder_airflow_guide.stl,ok,24,True,True,0,0,
mini_pc_placeholder_retainer,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/mini_pc_placeholder_retainer.stl,ok,24,True,True,0,0,
mini_pc_placeholder_tray,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/mini_pc_placeholder_tray.stl,ok,68,True,True,0,0,
rail_end_mount,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/rail_end_mount.stl,ok,1488,True,True,0,0,
rpi_mount_posts,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/rpi_mount_posts.stl,ok,2688,True,True,0,0,
rpi_ssd_tray,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/rpi_ssd_tray.stl,ok,48,True,True,0,0,
ssd_retainer,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/ssd_retainer.stl,ok,24,True,True,0,0,
tray_support_ledge,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/tray_support_ledge.stl,ok,368,True,True,0,0,
base_module,printed/plastic_modules,exports/mk0.9.3/printed/plastic_modules/base_module.stl,ok,9128,True,True,0,0,
mini_pc_placeholder_module,printed/plastic_modules,exports/mk0.9.3/printed/plastic_modules/mini_pc_placeholder_module.stl,ok,14276,True,True,0,0,
roof_module,printed/plastic_modules,exports/mk0.9.3/printed/plastic_modules/roof_module.stl,ok,7136,True,True,0,0,
rpi_ssd_module,printed/plastic_modules,exports/mk0.9.3/printed/plastic_modules/rpi_ssd_module.stl,ok,12986,True,True,0,0,
bottom_grill,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/bottom_grill.stl,ok,876,True,True,0,0,
dust_filter_slot,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/dust_filter_slot.stl,ok,48,True,True,0,0,
foot_mounts,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/foot_mounts.stl,ok,2688,True,True,0,0,
m5_threaded_rod_cap,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/m5_threaded_rod_cap.stl,ok,672,True,True,0,0,
mini_pc_placeholder_carriage,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/mini_pc_placeholder_carriage.stl,ok,8524,True,True,0,0,
rail_end_clip,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/rail_end_clip.stl,ok,372,True,True,0,0,
rpi_ssd_carriage,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/rpi_ssd_carriage.stl,ok,7684,True,True,0,0,
top_filter_slot,printed/plastic_subparts,exports/mk0.9.3/printed/plastic_subparts/top_filter_slot.stl,ok,32,True,True,0,0,
foot,printed/tpu,exports/mk0.9.3/printed/tpu/foot.stl,ok,1008,True,True,0,0,
aluminum_u_channel_rail_placeholder,reference_non_printed/metal,exports/mk0.9.3/reference_non_printed/metal/aluminum_u_channel_rail_placeholder.stl,ok,28,True,True,0,0,
m5_threaded_rod,reference_non_printed/metal,exports/mk0.9.3/reference_non_printed/metal/m5_threaded_rod.stl,ok,332,True,True,0,0,
pom_c_shoe_placeholder,reference_non_printed/wear_parts,exports/mk0.9.3/reference_non_printed/wear_parts/pom_c_shoe_placeholder.stl,ok,332,True,True,0,0,
tpu_foot_placeholder,reference_non_printed/wear_parts,exports/mk0.9.3/reference_non_printed/wear_parts/tpu_foot_placeholder.stl,ok,1008,True,True,0,0,
external_ssd_placeholder,reference_placeholders/devices,exports/mk0.9.3/reference_placeholders/devices/external_ssd_placeholder.stl,ok,28,True,True,0,0,
mini_pc_placeholder,reference_placeholders/devices,exports/mk0.9.3/reference_placeholders/devices/mini_pc_placeholder.stl,ok,28,True,True,0,0,
raspberry_pi_3b_placeholder,reference_placeholders/devices,exports/mk0.9.3/reference_placeholders/devices/raspberry_pi_3b_placeholder.stl,ok,1412,True,True,0,0,
fan_120x120x25_placeholder,reference_placeholders/fans,exports/mk0.9.3/reference_placeholders/fans/fan_120x120x25_placeholder.stl,ok,2903,False,False,1,1,open boundary or nonmanifold edge detected
dust_filter_placeholder,reference_placeholders/filters,exports/mk0.9.3/reference_placeholders/filters/dust_filter_placeholder.stl,ok,28,True,True,0,0,
top_guard_filter_mesh_placeholder,reference_placeholders/filters,exports/mk0.9.3/reference_placeholders/filters/top_guard_filter_mesh_placeholder.stl,ok,28,True,True,0,0,
airflow_clearance_zone,review,exports/mk0.9.3/review/airflow_clearance_zone.stl,ok,12,True,True,0,0,
central_airflow_channel_placeholder,review,exports/mk0.9.3/review/central_airflow_channel_placeholder.stl,ok,12,True,True,0,0,
module_interface_bottom,review,exports/mk0.9.3/review/module_interface_bottom.stl,ok,48,True,True,0,0,
module_interface_top,review,exports/mk0.9.3/review/module_interface_top.stl,ok,48,True,True,0,0,
simplified_airflow_guide,review,exports/mk0.9.3/review/simplified_airflow_guide.stl,ok,996,True,True,0,0,
