part_name,category,relative_path,status,geometry_hash,near_duplicate_key,duplicate_group,near_duplicate_group,size_x_mm,size_y_mm,size_z_mm,volume_mm3,notes
m5_threaded_rod,non_printable/metal_reference,exports/mk0.9/non_printable/metal_reference/m5_threaded_rod.stl,ok,9d9f9a5550b29916b6eea7ecdebb503f97633827a4bf16fab6db339975a12214,"(5.0, 5.0, 294.0, 5767.0)",,,5.000,5.000,294.000,5767.295,
external_ssd_placeholder,placeholders/devices,exports/mk0.9/placeholders/devices/external_ssd_placeholder.stl,ok,5c64e4f869b7ffbb64ea0eec576c3d5dccc1434b6133ba0ba3276c8cf8030f4f,"(16.0, 38.0, 75.0, 45580.0)",,,75.000,38.000,16.000,45579.520,
mini_pc_placeholder,placeholders/devices,exports/mk0.9/placeholders/devices/mini_pc_placeholder.stl,ok,6a24fe12d8ba654a69097cb02ce566339868d1774cb563ce8f52f3b0968d183b,"(55.0, 130.0, 130.0, 929430.0)",,,130.000,130.000,55.000,929429.599,
raspberry_pi_3b_placeholder,placeholders/devices,exports/mk0.9/placeholders/devices/raspberry_pi_3b_placeholder.stl,ok,3931eb8b053e7ba4475e77382074c494ca27e3eeaf0aec757abbf2360ff4d45b,"(16.6, 85.0, 86.0, 98326.0)",,,85.000,86.000,16.600,98325.975,
fan_120x120x25_placeholder,placeholders/fans,exports/mk0.9/placeholders/fans/fan_120x120x25_placeholder.stl,ok,233678fc9347df5b07edd970ca679f253a03701025916f19b4ef0fa5c8db104d,"(43.0, 120.0, 120.0, 147658.0)",,,120.000,120.000,43.000,147657.860,
dust_filter_placeholder,placeholders/filters,exports/mk0.9/placeholders/filters/dust_filter_placeholder.stl,ok,daabdc10c7edfa13d615a6a9d5d373976b4e66a429199f61003c58477e4b3f9f,"(2.0, 120.0, 130.0, 31197.0)",,,130.000,120.000,2.000,31197.440,
top_guard_filter_mesh_placeholder,placeholders/filters,exports/mk0.9/placeholders/filters/top_guard_filter_mesh_placeholder.stl,ok,97bca3b0f1c2107c68fa97c68051b092230e2c5325ac2c488b10f695b744c280,"(2.0, 120.0, 120.0, 28797.0)",,,120.000,120.000,2.000,28797.440,
base_module,printable/plastic,exports/mk0.9/printable/plastic/base_module.stl,ok,9e0e5b3bb0969487624a85a51628e2063fee0e524109b11dd86309be5251a67b,"(62.0, 190.0, 190.0, 149674.0)",,,190.000,190.000,62.000,149674.232,
bottom_grill,printable/plastic,exports/mk0.9/printable/plastic/bottom_grill.stl,ok,7f96e83adc360dadca1df3caed1e961acef40c6050e401db7a781987664ec32f,"(4.0, 138.0, 138.0, 41011.0)",,,138.000,138.000,4.000,41011.495,
dust_filter_slot,printable/plastic,exports/mk0.9/printable/plastic/dust_filter_slot.stl,ok,67bfc530eec53d7319634ce7fe79cba06cd3241cc7dd5ef7a8a41e984a12a3a4,"(2.0, 142.0, 144.0, 7822.0)",,,142.000,144.000,2.000,7821.600,
