part_name,file_type,category,relative_path,status,min_x_mm,min_y_mm,min_z_mm,max_x_mm,max_y_mm,max_z_mm,size_x_mm,size_y_mm,size_z_mm,triangle_count,error
m5_threaded_rod,stl,non_printable/metal_reference,exports/mk0.9/non_printable/metal_reference/m5_threaded_rod.stl,ok,-2.500,-2.500,0.000,2.500,2.500,294.000,5.000,5.000,294.000,332,
external_ssd_placeholder,stl,placeholders/devices,exports/mk0.9/placeholders/devices/external_ssd_placeholder.stl,ok,-37.500,-19.000,-8.000,37.500,19.000,8.000,75.000,38.000,16.000,28,
mini_pc_placeholder,stl,placeholders/devices,exports/mk0.9/placeholders/devices/mini_pc_placeholder.stl,ok,-65.000,-65.000,-27.500,65.000,65.000,27.500,130.000,130.000,55.000,28,
raspberry_pi_3b_placeholder,stl,placeholders/devices,exports/mk0.9/placeholders/devices/raspberry_pi_3b_placeholder.stl,ok,-42.500,-40.000,-0.800,42.500,46.000,15.800,85.000,86.000,16.600,1412,
fan_120x120x25_placeholder,stl,placeholders/fans,exports/mk0.9/placeholders/fans/fan_120x120x25_placeholder.stl,ok,-60.000,-60.000,-12.500,60.000,60.000,30.500,120.000,120.000,43.000,2903,
dust_filter_placeholder,stl,placeholders/filters,exports/mk0.9/placeholders/filters/dust_filter_placeholder.stl,ok,-65.000,-60.000,-1.000,65.000,60.000,1.000,130.000,120.000,2.000,28,
top_guard_filter_mesh_placeholder,stl,placeholders/filters,exports/mk0.9/placeholders/filters/top_guard_filter_mesh_placeholder.stl,ok,-60.000,-60.000,-1.000,60.000,60.000,1.000,120.000,120.000,2.000,28,
base_module,stl,printable/plastic,exports/mk0.9/printable/plastic/base_module.stl,ok,-95.000,-95.000,-29.000,95.000,95.000,33.000,190.000,190.000,62.000,5544,
bottom_grill,stl,printable/plastic,exports/mk0.9/printable/plastic/bottom_grill.stl,ok,-69.000,-69.000,-2.000,69.000,69.000,2.000,138.000,138.000,4.000,876,
dust_filter_slot,stl,printable/plastic,exports/mk0.9/printable/plastic/dust_filter_slot.stl,ok,-71.000,-78.000,-1.000,71.000,66.000,1.000,142.000,144.000,2.000,48,
foot_mounts,stl,printable/plastic,exports/mk0.9/printable/plastic/foot_mounts.stl,ok,-95.000,-95.000,0.000,95.000,95.000,4.000,190.000,190.000,4.000,2688,
m5_threaded_rod_cap,stl,printable/plastic,exports/mk0.9/printable/plastic/m5_threaded_rod_cap.stl,ok,-6.000,-6.000,0.000,6.000,6.000,8.000,12.000,12.000,8.000,672,
mini_pc_placeholder_module,stl,printable/plastic,exports/mk0.9/printable/plastic/mini_pc_placeholder_module.stl,ok,-95.000,-95.000,-41.000,95.000,95.000,45.000,190.000,190.000,86.000,6032,
roof_module,stl,printable/plastic,exports/mk0.9/printable/plastic/roof_module.stl,ok,-95.000,-95.000,-33.000,95.000,95.000,36.000,190.000,190.000,69.000,7136,
rpi_ssd_module,stl,printable/plastic,exports/mk0.9/printable/plastic/rpi_ssd_module.stl,ok,-95.000,-95.000,-35.000,95.000,95.000,39.000,190.000,190.000,74.000,6972,
top_filter_slot,stl,printable/plastic,exports/mk0.9/printable/plastic/top_filter_slot.stl,ok,-71.000,-71.000,-1.000,71.000,71.000,1.000,142.000,142.000,2.000,32,
foot,stl,printable/tpu,exports/mk0.9/printable/tpu/foot.stl,ok,-11.000,-11.000,-6.000,11.000,11.000,6.000,22.000,22.000,12.000,1008,
airflow_clearance_zone,stl,review,exports/mk0.9/review/airflow_clearance_zone.stl,ok,-68.500,-83.500,0.000,68.500,53.500,276.000,137.000,137.000,276.000,12,
central_airflow_channel_placeholder,stl,review,exports/mk0.9/review/central_airflow_channel_placeholder.stl,ok,-62.500,-77.500,0.000,62.500,47.500,276.000,125.000,125.000,276.000,12,
module_interface_bottom,stl,review,exports/mk0.9/review/module_interface_bottom.stl,ok,-95.000,-95.000,-2.000,95.000,95.000,2.000,190.000,190.000,4.000,48,
module_interface_top,stl,review,exports/mk0.9/review/module_interface_top.stl,ok,-95.000,-95.000,-2.000,95.000,95.000,2.000,190.000,190.000,4.000,48,
simplified_airflow_guide,stl,review,exports/mk0.9/review/simplified_airflow_guide.stl,ok,-5.000,-20.000,46.000,5.000,-10.000,222.000,10.000,10.000,176.000,996,
assembly,step,assemblies,exports/mk0.9/assemblies/assembly.step,ok,-95.000,-95.000,0.000,95.000,95.000,294.000,190.000,190.000,294.000,,
m5_threaded_rod,step,non_printable/metal_reference,exports/mk0.9/non_printable/metal_reference/m5_threaded_rod.step,ok,-2.500,-2.500,0.000,2.500,2.500,294.000,5.000,5.000,294.000,,
external_ssd_placeholder,step,placeholders/devices,exports/mk0.9/placeholders/devices/external_ssd_placeholder.step,ok,-37.500,-19.000,-8.000,37.500,19.000,8.000,75.000,38.000,16.000,,
mini_pc_placeholder,step,placeholders/devices,exports/mk0.9/placeholders/devices/mini_pc_placeholder.step,ok,-65.000,-65.000,-27.500,65.000,65.000,27.500,130.000,130.000,55.000,,
raspberry_pi_3b_placeholder,step,placeholders/devices,exports/mk0.9/placeholders/devices/raspberry_pi_3b_placeholder.step,ok,-42.500,-40.000,-0.800,42.500,46.000,15.800,85.000,86.000,16.600,,
fan_120x120x25_placeholder,step,placeholders/fans,exports/mk0.9/placeholders/fans/fan_120x120x25_placeholder.step,ok,-60.000,-60.000,-12.500,60.000,60.000,30.500,120.000,120.000,43.000,,
dust_filter_placeholder,step,placeholders/filters,exports/mk0.9/placeholders/filters/dust_filter_placeholder.step,ok,-65.000,-60.000,-1.000,65.000,60.000,1.000,130.000,120.000,2.000,,
top_guard_filter_mesh_placeholder,step,placeholders/filters,exports/mk0.9/placeholders/filters/top_guard_filter_mesh_placeholder.step,ok,-60.000,-60.000,-1.000,60.000,60.000,1.000,120.000,120.000,2.000,,
base_module,step,printable/plastic,exports/mk0.9/printable/plastic/base_module.step,ok,-95.000,-95.000,-29.000,95.000,95.000,33.000,190.000,190.000,62.000,,
bottom_grill,step,printable/plastic,exports/mk0.9/printable/plastic/bottom_grill.step,ok,-69.000,-69.000,-2.000,69.000,69.000,2.000,138.000,138.000,4.000,,
dust_filter_slot,step,printable/plastic,exports/mk0.9/printable/plastic/dust_filter_slot.step,ok,-71.000,-78.000,-1.000,71.000,66.000,1.000,142.000,144.000,2.000,,
foot_mounts,step,printable/plastic,exports/mk0.9/printable/plastic/foot_mounts.step,ok,-95.000,-95.000,0.000,95.000,95.000,4.000,190.000,190.000,4.000,,
m5_threaded_rod_cap,step,printable/plastic,exports/mk0.9/printable/plastic/m5_threaded_rod_cap.step,ok,-6.000,-6.000,0.000,6.000,6.000,8.000,12.000,12.000,8.000,,
mini_pc_placeholder_module,step,printable/plastic,exports/mk0.9/printable/plastic/mini_pc_placeholder_module.step,ok,-95.000,-95.000,-41.000,95.000,95.000,45.000,190.000,190.000,86.000,,
roof_module,step,printable/plastic,exports/mk0.9/printable/plastic/roof_module.step,ok,-95.000,-95.000,-33.000,95.000,95.000,36.000,190.000,190.000,69.000,,
rpi_ssd_module,step,printable/plastic,exports/mk0.9/printable/plastic/rpi_ssd_module.step,ok,-95.000,-95.000,-35.000,95.000,95.000,39.000,190.000,190.000,74.000,,
top_filter_slot,step,printable/plastic,exports/mk0.9/printable/plastic/top_filter_slot.step,ok,-71.000,-71.000,-1.000,71.000,71.000,1.000,142.000,142.000,2.000,,
foot,step,printable/tpu,exports/mk0.9/printable/tpu/foot.step,ok,-11.000,-11.000,-6.000,11.000,11.000,6.000,22.000,22.000,12.000,,
airflow_clearance_zone,step,review,exports/mk0.9/review/airflow_clearance_zone.step,ok,-68.500,-83.500,0.000,68.500,53.500,276.000,137.000,137.000,276.000,,
central_airflow_channel_placeholder,step,review,exports/mk0.9/review/central_airflow_channel_placeholder.step,ok,-62.500,-77.500,0.000,62.500,47.500,276.000,125.000,125.000,276.000,,
module_interface_bottom,step,review,exports/mk0.9/review/module_interface_bottom.step,ok,-95.000,-95.000,-2.000,95.000,95.000,2.000,190.000,190.000,4.000,,
module_interface_top,step,review,exports/mk0.9/review/module_interface_top.step,ok,-95.000,-95.000,-2.000,95.000,95.000,2.000,190.000,190.000,4.000,,
simplified_airflow_guide,step,review,exports/mk0.9/review/simplified_airflow_guide.step,ok,-5.000,-20.000,46.000,5.000,-10.000,222.000,10.000,10.000,176.000,,
